"ID","WELL_LOCATION","FAC_NAME","FAC_TYPE","TEST_DATE","VENT_RATE","STATUS"
"a8k16000000g1ubAAA","191150205022W302","GULH 191/15-02-050-22W3/02","WI","2015-05-07","108","Item Updated"
"a8k16000000fyG0AAI","191150205022W300","GULH 191/15-02-050-22W3 SPRK","WI","2011-08-20","130","Item Updated"
"a8k16000000fzKyAAI","191150105024W300","PKWL J4  91/15-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzedAAA","191143104923W300","PKWL L9  91/14-31-049-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000g03xAAA","191142504825W300","LSHH 191/14-25-048-25W3/00","WI","2012-05-31","147","Item Updated"
"a8k16000000g0OKAAY","191142404925W302","BGLH 191/14-24-049-25W3 SPRK","WI","2010-08-01","50","Item Updated"
"a8k16000000fzPSAAY","191142304920W303","EDMH 191/14-23-049-20W3 MNVL","WI","2012-08-06","3027","Item Updated"
"a8k16000000fzVmAAI","191141105022W300","WZLH 191/14-11-050-22W3 WSEC","WI","2013-06-01","64","Item Updated"
"a8k16000000fySRAAY","191140704821W302","RUSH 191/14-07-048-21W3 WSEC","WI","2009-04-20","0","Item Updated"
"a8k16000000g1uxAAA","191140504826W300","LSHH 191/14-05-048-26W3/00","WI","2016-09-19","35","Item Updated"
"a8k16000000fyX9AAI","191133004922W300","GULH 191/13-30-049-22W3 WSEC","WI","2011-10-20","23","Item Updated"
"a8k16000000bm7TAAQ","191131504028W300","NEND 191/13-15-040-28W3 CMGS","WI","2009-03-13","","Item Updated"
"a8k16000000fz1qAAA","191131305222W300","CLTH 191/13-13-052-22W3/00","WI","2013-06-07","11","Item Updated"
"a8k16000000fzVlAAI","191131105022W300","WZHL 191/13-11-050-22W3 WSEC","WI","2013-06-05","7","Item Updated"
"a8k16000000g1yYAAQ","191123405026W300","TNSH 191/12-34-050-26W3/00","WI","2016-04-02","1","Item Updated"
"a8k16000000fz3TAAQ","191120605023W300","PKWL P14  91/12-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000g0xiAAA","191120104828W302","EPPH 191/12-01-048-28W3/02","WI","2017-04-13","239","Item Updated"
"a8k16000000fzWeAAI","191113304427W300","MRSH 191/11-33-044-27W3 SPRK","WI","2011-08-08","2542","Item Updated"
"a8k16000000g10qAAA","191113204823W302","LSDH 191/11-32-048-23W3/02","WI","2017-04-10","322","Item Updated"
"a8k16000000g1iuAAA","191112104924W302","LSDH 191/11-21-049-24W3/02","WI","2014-05-26","156","Item Updated"
"a8k16000000fyGkAAI","191112104924W300","LSDH 191/11-21-049-24W3 GP","WI","2012-04-24","32","Item Updated"
"a8k16000000fxcQAAQ","191110505225W302","TNNH 191/11-05-052-25W3 MCLN","WI","2012-07-10","352","Item Updated"
"a8k16000000fyGyAAI","191110104928W300","ABRH 191/11-01-049-28W3/00","WI","2014-04-29","1","Item Updated"
"a8k16000000fxxbAAA","191103504828W300","EPPH 191/10-35-048-28W3 SPRK","WI","2010-09-01","159","Item Updated"
"a8k16000000g1kIAAQ","191103404523W300","FRMH 191/10-34-045-23W3/00","WI","2015-08-30","174","Item Updated"
"a8k16000000fxzMAAQ","191101704722W300","RUSH 191/10-17-047-22W3","WI","2017-09-16","0","Item Updated"
"a8k16000000fy2yAAA","191101205126W303","TNNH 191/10-12-051-26W3 MCLN","WI","2010-06-24","89","Item Updated"
"a8k16000000g1zNAAQ","191100805218W300","MRVH 191/10-08-052-18W300","WI","2014-04-30","0.01","Item Updated"
"a8k16000000g0tEAAQ","191100705024W300","BGLH 191/10-07-050-24W3 SPRK","WI","2011-08-23","94","Item Updated"
"a8k16000000fySdAAI","191100704922W300","GULH 191/10-07-049-22W3 WSEC","WI","2017-07-15","160","Item Updated"
"a8k16000000fy8NAAQ","191100704821W300","RUSH 191/10-07-048-21W3 GP","WI","2010-08-28","36","Item Updated"
"a8k1L000000KyrlQAC","191100104828W303","EPPH 191/10-01-048-28W3/03","WI","2017-11-10","21","Item Updated"
"a8k16000000g1XrAAI","191100104828W300","EPPH 191/10-01-048-28W3/00","WI","2014-08-10","174","Item Updated"
"a8k16000000fz1eAAA","191093104819W300","Edam 191/09-31-048-19W3 WSEC","WI","2012-07-14","240","Item Updated"
"a8k16000000g1u1AAA","191092904925W302","BGLH 191/09-29-049-25W3/02","WI","2014-08-06","0","Item Updated"
"a8k16000000g0TaAAI","191092704627W300","EPPH 191/09-27-046-27W3 SPRK","WI","2013-06-05","11","Item Updated"
"a8k16000000g1mpAAA","191092505123W300","CLTH 191/09-25-051-23W3/00","WI","2014-04-13","12","Item Updated"
"a8k16000000fz6UAAQ","191090404528W300","MRSH 191/09-04-045-28W3 SPRK","WI","2010-05-01","434","Item Updated"
"a8k16000000g1ouAAA","191090304623W300","FRMH 191/09-03-046-23W3/00","WI","2014-10-01","0","Item Updated"
"a8k16000000fyAvAAI","191083504723W300","RUSH 191/08-35-047-23W3/00","WI","2011-07-22","193","Item Updated"
"a8k16000000g1IRAAY","191082805125W303","TNCH 191/08-28-051-25W3/03","WI","2013-07-14","0","Item Updated"
"a8k16000000g0Q1AAI","191082204627W300","EPPH 191/08-22-046-27W3 SPRK","WI","2014-08-14","2","Item Updated"
"a8k16000000fy3pAAA","191080904924W302","LSDH 191/08-09-049-24W3 SPRK","WI","2009-05-15","0","Item Updated"
"a8k16000000fyQHAAY","191080305125W302","TNCH 191/08-03-051-25W3 GP","WI","2012-07-10","236","Item Updated"
"a8k16000000fz1nAAA","191080105123W303","WZLH 191/08-01-051-23W3 MNVL","WI","2010-07-01","1252","Item Updated"
"a8k16000000fxjdAAA","191073504822W300","LSDH 191/07-35-048-22W3 SPRK","WI","2010-10-26","40","Item Updated"
"a8k16000000fxXoAAI","191073305125W302","TNNH 191/07-33-051-25W3/02","WI","2012-07-19","0","Item Updated"
"a8k16000000g1JvAAI","191072804925W302","BGLH 191/07-28-049-25W3/02","WI","2014-08-13","0","Item Updated"
"a8k16000000g0cBAAQ","191072804925W300","BGLH 191/07-28-049-25W3/00 SPRK","WI","2009-06-19","8","Item Updated"
"a8k16000000fxd5AAA","191072005125W302","TNNH 191/07-20-051-25W3 SPRK","WI","2010-05-01","1183","Item Updated"
"a8k16000000g123AAA","191071905124W303","CLTH 191/07-19-051-24W3/03","WI","2015-04-27","0","Item Updated"
"a8k16000000g1ITAAY","191071905124W302","CLTH 191/07-19-051-24W3/02","WI","2013-07-14","7","Item Updated"
"a8k16000000fzjcAAA","191071905124W300","CLTH 191/07-19-051-24W3 GP","WI","2012-06-24","31","Item Updated"
"a8k16000000fyR0AAI","191071705125W300","TCSI 191/07-17-051-25W3/00","WI","2009-06-20","224","Item Updated"
"a8k16000000g01qAAA","191071305026W300","BGLH 191/07-13-050-26W3 LDMR","WI","2017-08-19","6","Item Updated"
"a8k16000000fxhqAAA","191070705127W300","ABRH 191/07-07-051-27W3/00","WI","2013-05-18","18","Item Updated"
"a8k16000000fzBWAAY","191070605023W300","PKWL K10  91/07-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000g02qAAA","191070505325W302","TNNH 191/07-05-053-25W3 MCLN","WI","2009-05-15","264","Item Updated"
"a8k16000000g1osAAA","191063304523W300","FRMH 191/06-33-045-23W3/00","WI","2014-09-29","0","Item Updated"
"a8k16000000g0TVAAY","191062704627W300","EPPH 191/06-27-046-27W3/00 SPRK","WI","2012-07-22","21","Item Updated"
"a8k16000000fz5xAAA","191062404920W300","ECSI 191/06-24-049-20W3/00","WI","2017-09-20","986","Item Updated"
"a8k16000000g1HhAAI","191062105122W300","WZLH 191/06-21-051-22W3/00","WI","2014-06-17","132","Item Updated"
"a8k16000000g21ZAAQ","191060904825W302","LSHH 191/06-09-048-25W3 SPRK","WI","2014-04-07","2517","Item Updated"
"a8k16000000fziOAAQ","191060705023W300","PKWL FF1  91/06-07-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fyWBAAY","191053404822W300","LSDH 191/05-34-048-22W3 GP","WI","2009-06-03","1049","Item Updated"
"a8k16000000g1qEAAQ","191052305028W300","ABRH 191/05-23-050-28W3/00","WI","2017-08-29","204","Item Updated"
"a8k16000000fyOKAAY","191051105022W300","GULH 191/05-11-050-22W3 WSEC","WI","2009-05-26","168.1","Item Updated"
"a8k16000000fy1oAAA","191051104927W300","ABRH 191/05-11-049-27W3 SPRK","WI","2010-09-01","81","Item Updated"
"a8k16000000fzswAAA","191050605023W300","PKWL R5  91/05-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000g1qFAAQ","191042305028W300","ABRH 191/04-23-050-28W3/00","WI","2017-08-24","7","Item Updated"
"a8k16000000g1D5AAI","191041905125W304","Tflags N 191/04-19-051-25W3/04","WI","2015-05-24","114","Item Updated"
"a8k16000000fy7bAAA","191041904924W300","BGLH 191/04-19-049-24W3/00","WI","2014-03-30","2","Item Updated"
"a8k16000000fxhyAAA","191040905127W300","ABRH 191/04-09-051-27W3/00","WI","2013-05-20","527","Item Updated"
"a8k16000000g1zkAAA","191040604823W300","LSDH 191/04-06-048-23W3/00","WI","2015-05-09","329","Item Updated"
"a8k16000000fzPNAAY","191040205424W300","CLTH 191/04-02-054-24W3/00","WI","2013-06-30","8","Item Updated"
"a8k16000000fzA3AAI","191033604920W300","MCSI 191/03-36-049-20W3/00","WI","2011-05-03","891","Item Updated"
"a8k16000000g147AAA","191032504523W300","FRMH 191/03-25-045-23W3/00","WI","2015-08-31","142","Item Updated"
"a8k16000000fzVrAAI","191032105022W300","WZLH 191/03-21-050-22W3 WSEC","WI","2009-06-25","338.9","Item Updated"
"a8k16000000fzL3AAI","191031505020W300","MRVH 191/03-15-050-20W3 WSEC","WI","2011-06-27","92","Item Updated"
"a8k16000000fzlbAAA","191030605023W300","PKWL L3  91/03-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000g1HzAAI","191023305223W300","CLTH 191/02-33-052-23W3/00","WI","2014-07-05","851","Item Updated"
"a8k16000000fyUHAAY","191023205125W300","TNNH 191/02-32-051-25W3 GP","WI","2012-05-31","534","Item Updated"
"a8k16000000fxYqAAI","191022005125W302","TCSI 191/02-20-051-25W3/02","WI","2011-11-30","531","Item Updated"
"a8k16000000fzzOAAQ","191021604627W303","EPPH 191/02-16-046-27W3 MNVL","WI","2010-08-01","187.8","Item Updated"
"a8k16000000fzIcAAI","191021505123W302","CLTH 191/02-15-051-23W3/02","WI","2013-06-10","49","Item Updated"
"a8k16000000g0t1AAA","191020705024W300","BGLH 191/02-07-050-24W3 SPRK","WI","2010-09-01","0","Item Updated"
"a8k16000000fyQiAAI","191013505126W302","TNNH 191/01-35-051-26W3 SPRK","WI","2009-06-09","509","Item Updated"
"a8k16000000fxk9AAA","191013404822W303","LSDH 191/01-34-048-22W3 MNVL","WI","2012-07-23","4433","Item Updated"
"a8k16000000fxk7AAA","191013404822W300","LSDH 191/01-34-048-22W3 SPRK","WI","2010-07-27","57","Item Updated"
"a8k16000000g0TLAAY","191012204828W300","EPPH 191/01-22-048-28W3/00","WI","2012-08-22","68","Item Updated"
"a8k16000000g0JUAAY","191011304427W300","MANT 191/01-13-044-27W3 SPRK","WI","2013-07-11","595","Item Updated"
"a8k16000000g1vOAAQ","191011105127W300","ABRH 191/01-11-051-27W3/00","WI","2015-05-16","17","Item Updated"
"a8k16000000fy0JAAQ","191010904924W303","LSDH 191/01-09-049-24W3/02 MNVL","WI","2011-09-19","92","Item Updated"
"a8k16000000g0WIAAY","191010305024W300","BGLH 191/01-03-050-24W3/00 SPRK","WI","2009-10-22","964","Item Updated"
"a8k16000000fz7aAAA","182070105024W300","PKWL 3D7-1  82/07-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzEkAAI","144100105024W300","PKWL F2  44/10-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzEwAAI","143110105024W300","PKWL J1  43/11-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fznlAAA","141162805020W302","MRVH 141/16-28-050-20W3 WSEC","WI","2017-05-06","272","Item Updated"
"a8k16000000g04qAAA","141142704927W303","ABRH 141/14-27-049-27W3 MNVL","WI","2010-06-01","1465","Item Updated"
"a8k16000000fzgJAAQ","141132005021W300","MRVH 141/13-20-050-21W3 WSEC","WI","2012-05-28","56","Item Updated"
"a8k16000000fyNqAAI","141131304925W300","LSDH 141/13-13-049-25W3 WSEC","WI","2009-06-06","83","Item Updated"
"a8k16000000g1HSAAY","141130805120W300","MRVH 141/13-08-051-20W3/00","WI","2013-07-12","0","Item Updated"
"a8k16000000fyJxAAI","141121304925W300","LSDH 141/12-13-049-25W3 SPRK","WI","2009-06-04","81","Item Updated"
"a8k16000000fxUoAAI","141121004924W302","LSDH 141/12-10-049-24W3/02","WI","2017-04-23","0","Item Updated"
"a8k16000000g1laAAA","141113405123W300","CLTH 141/11-34-051-23W3/00","WI","2017-03-26","6","Item Updated"
"a8k16000000fyD9AAI","141111604927W303","ABRH 141/11-16-049-27W3 MNVL","WI","2010-03-07","425","Item Updated"
"a8k16000000fy4iAAA","141111404824W300","LSDH 141/11-14-048-24W3 SPRK","WI","2012-05-07","25","Item Updated"
"a8k16000000fyJvAAI","141111304925W302","LSDH 141/11-13-049-25W3 WSEC","WI","2010-05-10","103","Item Updated"
"a8k16000000fzLvAAI","141100105123W300","CLTH 141/10-01-051-23W3 WSEC","WI","2010-06-29","262","Item Updated"
"a8k16000000fzTEAAY","141091904427W300","MRSH 141/09-19-044-27W3 SPRK","WI","1969-12-31","15","Item Updated"
"a8k16000000g022AAA","141091705026W300","BGLH 141/09-17-050-26W3 MCLN","WI","2009-08-06","0","Item Updated"
"a8k16000000fxwQAAQ","141090704924W302","LSDH 141/09-07-049-24W3 GP","WI","2009-06-14","131","Item Updated"
"a8k16000000g02AAAQ","141081705124W303","TNCH 141/08-17-051-24W3 SPRK","WI","2010-06-01","137","Item Updated"
"a8k16000000fyJrAAI","141071304925W302","LSDH 141/07-13-049-25W3 SPRK","WI","2009-04-09","1499","Item Updated"
"a8k16000000g050AAA","141062105026W300","BGLH 141/06-21-050-26W3/00 MCLN","WI","2010-08-01","42","Item Updated"
"a8k16000000fyJpAAI","141061304925W302","LSDH 141/06-13-049-25W3 SPRK","WI","2009-06-06","375","Item Updated"
"a8k16000000fy7aAAA","141051804924W300","LSDH 141/05-18-049-24W3/00","WI","2012-06-13","762","Item Updated"
"a8k16000000fzg9AAA","141050705020W300","MRVH 141/05-07-050-20W3 WSEC","WI","2012-11-02","20","Item Updated"
"a8k16000000fzpTAAQ","141050605023W300","PKWL P7  41/05-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000g20yAAA","141042505020W302","MRVH 141/04-25-050-20W3/02","WI","2014-03-19","5070","Item Updated"
"a8k16000000fy5NAAQ","141041404927W300","ABRH 141/04-14-049-27W3/00","WI","2014-04-18","159","Item Updated"
"a8k16000000fzdaAAA","141041204626W300","MRSH 141/04-12-046-26W3 MCLN","WI","2012-07-03","321","Item Updated"
"a8k16000000fy53AAA","141040404927W300","ABRH 141/04-04-049-27W3 SPRK","WI","2011-06-01","19","Item Updated"
"a8k16000000g04yAAA","141032105026W302","BGLH 141/03-21-050-26W3 WSEC","WI","2009-08-09","96","Item Updated"
"a8k16000000g0iyAAA","141032004427W300","MRSH 141/03-20-044-27W3 SPRK","WI","2011-08-07","46","Item Updated"
"a8k16000000g1izAAA","141023504924W302","LSDH 141/02-35-049-24W3/02","WI","2017-07-04","388","Item Updated"
"a8k16000000g1j2AAA","141022105223W303","CLTH 141/02-21-052-23W3/03","WI","2015-04-20","87","Item Updated"
"a8k16000000g0KmAAI","141013304927W303","ABRH 141/01-33-049-27W3/03","WI","2014-04-06","87","Item Updated"
"a8k16000000fyFxAAI","141011304925W303","LSDH 141/01-13-049-25W3 MNVL","WI","2009-06-07","29","Item Updated"
"a8k16000000fz7pAAA","140020605023W300","PKWL 3D2-6  40/02-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fz7nAAA","133080105024W300","PKWL H4  33/08-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fxYyAAI","132152204925W302","BGLH 132/15-22-049-25W3 MCLN","WI","2012-06-04","67","Item Updated"
"a8k16000000g1ooAAA","132132704523W300","FRMH 132/13-27-045-23W3/00","WI","2014-09-29","4","Item Updated"
"a8k16000000g1wuAAA","132131804923W300","LSDH 132/13-18-049-23W3/00","WI","2015-04-28","1117","Item Updated"
"a8k16000000fzEtAAI","132110105024W300","PKWL J9  32/11-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzEhAAI","132100105024W302","PKWL F1  32/10-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fz7mAAA","132080105024W300","PKWL 1C8-1  32/08-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzlXAAQ","132020605023W300","PKWL L2  32/02-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000g1w8AAA","131163204925W300","BGLH BTB1H3707 SF01","WI","2014-07-29","35","Item Updated"
"a8k16000000fyCwAAI","131161004927W300","ABRH 131/16-10-049-27W3 SPRK","WI","2014-02-03","726","Item Updated"
"a8k16000000fyOiAAI","131160104822W302","RUSH 131/16-01-048-22W3/02 WSEC","WI","2009-05-04","0","Item Updated"
"a8k16000000g1lnAAA","131153405123W302","CLTH 131/15-34-051-23W3/02","WI","2017-03-24","36","Item Updated"
"a8k16000000g1YLAAY","131153204925W300","BGHL 131/15-32-049-25W3/00","WI","2014-07-28","1616","Item Updated"
"a8k16000000g10FAAQ","131152105125W303","TNCH 131/15-21-051-25W3/03","WI","2014-06-04","0.526","Item Updated"
"a8k16000000fyCFAAY","131150704821W303","RUSH 131/15-07-048-21W3 MNVL","WI","2009-04-26","0","Item Updated"
"a8k16000000fyFoAAI","131150104925W300","LSDH 131/15-01-049-25W3 SPRK","WI","2009-07-22","539.9","Item Updated"
"a8k16000000fxjlAAA","131143504822W300","LSDH 131/14-35-048-22W3 SPRK","WI","2010-03-29","0","Item Updated"
"a8k16000000fxqlAAA","131142905024W302","TNSH 131/14-29-050-24W4 LDMR","WI","2010-06-18","132","Item Updated"
"a8k16000000fyViAAI","131142204925W303","BGLH 131/14-22-049-25W3 SPRK","WI","2012-06-05","150","Item Updated"
"a8k16000000fyREAAY","131142104925W300","BGLH 131/14-21-049-25W3 SPRK","WI","2012-07-30","0","Item Updated"
"a8k16000000fxblAAA","131133504925W300","BGLH 131/13-35-049-25W3 SPRK","WI","2010-06-01","619","Item Updated"
"a8k16000000fxa6AAA","131133404822W302","LSDH 131/13-34-048-22W3/02","WI","2013-07-31","378","Item Updated"
"a8k16000000fyVgAAI","131132204925W304","BGLH 131/13-22-049-25W3 MNVL","WI","2013-10-25","626","Item Updated"
"a8k16000000fySNAAY","131130704821W300","RUSH 131/13-07-048-21W3 GP","WI","2009-04-19","0","Item Updated"
"a8k16000000g0jIAAQ","131122704727W300","EPPH 131/12-27-047-27W3 LDMR","WI","2010-09-20","730","Item Updated"
"a8k16000000fyRDAAY","131122104925W300","BGLH 131/12-21-049-25W3 MCLN","WI","2012-07-29","2","Item Updated"
"a8k16000000fyBbAAI","131113304822W300","LSDH 131/11-33-048-22W3 SPRK","WI","2009-07-03","145.6","Item Updated"
"a8k16000000g0TeAAI","131112704627W300","EPPH 131/11-27-046-27W3 SPRK","WI","2012-07-29","424","Item Updated"
"a8k16000000g1GhAAI","131110704821W302","RUSH 131/11-07-048-21W3/02","WI","2014-05-28","1","Item Updated"
"a8k16000000fyBsAAI","131110104925W303","LSDH 131/11-01-049-25W3 MNVL","WI","2009-07-12","72.9","Item Updated"
"a8k16000000fyBqAAI","131110104925W302","LDSH 131/11-01-049-25W3/02","WI","2017-06-18","16","Item Updated"
"a8k16000000g1lXAAQ","131103405123W302","CLTH 131/10-34-051-23W3/02","WI","2017-03-27","19","Item Updated"
"a8k16000000fyRqAAI","131102704822W300","LSDH 131/10-27-048-22W3 SPRK","WI","2010-10-24","130","Item Updated"
"a8k16000000fyA7AAI","131102105125W300","TNCH 131/10-21-051-25W3 LDMR","WI","2010-06-12","128","Item Updated"
"a8k16000000g1WbAAI","131101205127W300","ABRH 131/10-12-051-27W3/00","WI","2014-06-29","0.065","Item Updated"
"a8k16000000fzXhAAI","131100605023W300","PKWL X3  31/10-06-050-23W3 WSEC","WI","2012-09-30","","Item Updated"
"a8k16000000fzBVAAY","131100105024W300","PKWL 2C10-1  31/10-01-050-24W3 WSEC","WI","2012-09-30","","Item Updated"
