"U_APPLICATION","EXTERNAL_ID","NAME","USED_FOR","HOST_NAME","MANUFACTURER","MODEL_ID","OS","OS_VERSION","SHORT_DESCRIPTION","SYS_CLASS_NAME","SYS_CREATED_ON","SYS_CREATED_BY","U_CMDB_CRITICALITY","ERROR"
"Interactive Petrophysics","cgwbtl510pd","cgwbtl510pd","Production","cgwbtl510pd","HP","Hewlett-Packard Company ProLiant DL120 G5 Server 533983-001","Windows 2003 Standard","5.2.3790","Not Reported","Windows Server","2012-06-19 15:20","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwbtl510pd"
"Interactive Petrophysics","CGWBTL510PD","CGWBTL510PD","Production","CGWBTL510PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise","6.1.7601","Interactive Petrophysics License Server","Windows Server","2013-11-04 13:03","mid_husky","(4) Business Critical","Duplicate external id specified: cgwbtl510pd"
"System Center Operations Manager 2012 R2 (SCOM)","CGWSCOM345PD","CGWSCOM345PD","Production","CGWSCOM345PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise ","6.1","SCOM 2012 Gateway Server for Red Zone (WCP)","Windows Server","2014-04-17 16:04","grigos","(2) Productivity Important","External Id: more than one record found for external id field: [a8m6300000003QvAAI, a8m6300000003SYAAY]"
"System Center Operations Manager 2012 R2 (SCOM)","CGWSCOM346PD","CGWSCOM346PD","Production","CGWSCOM346PD","","Unknown","Windows 2008 R2 Enterprise ","6.1","SCOM 2012 Gateway Server for Blue Zone (WCP)","Windows Server","2014-04-17 16:05","grigos","(2) Productivity Important","External Id: more than one record found for external id field: [a8m6300000003R0AAI, a8m6300000003SZAAY]"
"System Center Operations Manager 2012 R2 (SCOM)","CGWSCOM347PD","CGWSCOM347PD","Production","cgwscom347pd","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise","6.1.7601","SCOM 2012 HQ Corp Reporting server and Web Console Server","Windows Server","2013-09-30 13:12","mid_husky","(2) Productivity Important","External Id: more than one record found for external id field: [a8m63000000037YAAQ, a8m6300000003SaAAI]"
"System Center Operations Manager 2012 R2 (SCOM)","CGWSCOM353PD","CGWSCOM353PD","Production","CGWSCOM353PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","","","SCOM Management Server for Workgroup servers DMZ Zone



2016_confirmed_vcenter

","Windows Server","2016-09-16 10:12","neishg","(2) Productivity Important","External Id: more than one record found for external id field: [a8m6300000003QxAAI, a8m6300000003ScAAI]"
"SharePoint (ECM)","CGWSQL160PD","CGWSQL160PD","Production","CGWSQL160PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise ","6.1.7601","Sharepoint 2010 ECM Prod Primary","Windows Server","2015-03-30 12:22","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwsql160pd"
"SharePoint (ECM), Management System Documents Portal (MSDP), Social Club Store (SharePoint), HOIMS Lessons Learned Portal, Winshuttle","CGWSQL160PD","CGWSQL160PD","Production","CGWSQL160PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise","6.1.7601","ECM - Sharepoint XL-DB

Datacenter- Airdrie","Windows Server","2013-03-04 13:20","mid_husky","(4) Business Critical","Duplicate external id specified: cgwsql160pd"
"SharePoint (ECM)","CGWSQL240NP","CGWSQL240NP","Staging","cgwsql240np","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise","6.1.7601","SharePoint XL-DB

Datacenter - Airdrie","Windows Server","2013-04-01 13:11","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwsql240np"
"SharePoint (ECM)","cgwsql240np","cgwsql240np","Test","cgwsql240np","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise ","6.1.7601","Sharepoint 2010 ECM Test Primary","Windows Server","2013-04-04 14:40","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwsql240np"
"SeisWare","CGWSQL339PD","CGWSQL339PD","Production","CGWSQL339PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1","SQL server for Seisware - G&G application - 40 users","Windows Server","2014-11-04 16:22","hashmm","(4) Business Critical","Duplicate external id specified: cgwsql339pd"
"SeisWare","CGWSQL339PD","CGWSQL339PD","Production","CGWSQL339PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","Microsoft Windows Server 2008 R2 Standard

SQL server for Seisware - G&G application - 40 users","Windows Server","2012-09-27 9:51","mid_husky","(1) Non-Critical","Duplicate external id specified: cgwsql339pd"
"","cgydrum01","cgydrum01","","CGYDRUM01","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise ","6.1.7601","","Windows Server","2014-03-18 13:44","mid_husky","(1) Non-Critical","Duplicate external id specified: cgydrum01"
"Exchange 2010","CGYDRUM01","CGYDRUM01","Disaster recovery","CGYDRUM01","HP","Hewlett-Packard Company ProLiant BL460c G8 Server Blade 666157-B21","Windows 2008 R2 Enterprise","6.1.7601","Microsoft Windows Server 2008 R2 Enterprise 



Exchange 2010 SP3 Unified Messaging Communications server



Datacenter - Colo","Windows Server","2014-06-25 14:40","mid_husky","(1) Non-Critical","Duplicate external id specified: cgydrum01"
"Exchange 2010","CGYWCPCH01","CGYWCPCH01","Production","cgywcpch01","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise","6.1.7601","Exchange 2010 CAS & Hub server","Windows Server","2012-07-24 17:10","mid_husky","(5) Mission Critical","Duplicate external id specified: cgywcpch01"
"","cgywcpch01","cgywcpch01","","cgywcpch01","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise ","6.0.6002","HDMS LES Front End Server","Windows Server","2013-08-06 17:17","mid_husky","(1) Non-Critical","Duplicate external id specified: cgywcpch01"
"SAP Legacy SolMan Technical Monitoring","cls023","cls023","Production","cls023","VMware","","Linux SuSE","10","SAP Solution Mgr (SMP) - Legacy

Confirm to be in Unix_Class

","Linux Server","2012-06-19 18:49","mid_husky","(5) Mission Critical","Duplicate external id specified: cls023"
"SAP Legacy SolMan Technical Monitoring","cls023","cls023","Production","cls023","HP","Hewlett-Packard Company ProLiant BL460c G6 Server Blade 507778-B21","GNU/Linux","10","Linux cls023 2.6.16.60-0.62.1-smp #1 SMP Mon Apr 12 18:53:46 UTC 2010 x86_64 x86_64 x86_64 GNU/Linux

","Linux Server","2013-05-08 18:43","mid_husky","(1) Non-Critical","Duplicate external id specified: cls023"
"SUSE Manager","CLS030","CLS030","Production","cls030","HP","Hewlett-Packard Company ProLiant DL385 G1 Server 391108-xx1","Linux SuSE","10","Yast2 (DR Linux Mgmt)","Linux Server","2012-11-22 14:08","mid_husky","(1) Non-Critical","Duplicate external id specified: cls030"
"","cls030","cls030","Test","","","Unknown","GNU/Linux","","","Linux Server","2014-08-01 14:04","mid_husky","(1) Non-Critical","Duplicate external id specified: cls030"
"","CLS090","CLS090","Production","","HP","Hewlett-Packard Company ProLiant BL460c G6 Server Blade 507778-B21","Linux SuSE","10","Linux cls090 2.6.16.60-0.62.1-smp #1 SMP Mon Apr 12 18:53:46 UTC 2010 x86_64 x86_64 x86_64 GNU/Linux
","Linux Server","2013-05-13 17:15","mid_husky","(1) Non-Critical","Duplicate external id specified: cls090"
"SAP BI PORTAL (Part of SAP NetWeaver Business Warehouse)","CLS090","CLS090","Production","cls090","VMware, Inc.","Unknown","Linux SuSE","10","Legacy SAP ERP

Confirm to be in Unix_Class

","Linux Server","2014-04-14 15:23","mid_husky","(1) Non-Critical","Duplicate external id specified: cls090"
"","CLS090","CLS090","Production","cls090-new","HP","Hewlett-Packard Company ProLiant BL460c G6 Server Blade 507778-B21","Linux SuSE","2.6.16.60-0.62.1-smp","SAP ERP","Linux Server","2012-06-19 15:32","mid_husky","(5) Mission Critical","Duplicate external id specified: cls090"
"","CLS243","CLS243","","cls243","HP","Unknown","Linux Red Hat","5.11","","Linux Server","2014-08-11 15:27","mid_husky","(1) Non-Critical","Duplicate external id specified: cls243"
"HEIGIS Desktop Extension, HEIGIS Map Services, HEIGIS Scheduled Job (PRO C Program), HEIGISNitro, IHS Scheduled Job (PRO C Program), OFM - Oil Field Manager (Western Canada), Geographix, ENVOY, Compensatory Royalty, GIS Job Tracking, Boundaries Manager, APPIAN (Prod Ctl REQ Review - Ramsha's Del Ready), Appian BPM Platform, PL100 Report, Directional Survey Station Data Extractor, Location Converter, Upstream Datamart, IHSD (Public Data)","CLS243","CLS243","Production","cls243","HP","Hewlett-Packard Company ProLiant BL460c G6 Server Blade 507778-B21","Linux Red Hat","5.11","HEIGIS Production.

Confirm to be in Unix_Class

","Linux Server","2012-06-19 15:19","mid_husky","(1) Non-Critical","Duplicate external id specified: cls243"
"Cisco Information Server (CIS)","CLS243","CLS243","Production","","HP","Hewlett-Packard Company ProLiant BL460c G7 Server Blade 603251-B21","Linux Red Hat","5.11","This is not CLS243. Duplicate record. IP points to different server -> cls350 ","Server","2013-04-12 13:38","mid_husky","(5) Mission Critical","Duplicate external id specified: cls243"
"OmniSafe Client Server / Web Application, Spotfire, TRIPWIRE (Prod Ctl REQ Review), CarChip - FMS (HOG, Heavy Oil, Tucker, Pipelines), SKF Machine Suite","CLS244","CLS244","Production","","HP","Hewlett-Packard Company ProLiant BL460c G6 Server Blade 507778-B21","Linux Red Hat","5.11","Oracle Production + Comprod - Common database for many apps

Merak Reserves\Volts (voltsprd)

Confirm to be in Unix_Class

","Linux Server","2012-06-19 15:19","mid_husky","(5) Mission Critical","Duplicate external id specified: cls244"
"Spotfire, TRIPWIRE (Prod Ctl REQ Review), CarChip - FMS (HOG, Heavy Oil, Tucker, Pipelines), SKF Machine Suite, OmniSafe Client Server / Web Application","CLS244","CLS244","Production","cls244","VMware, Inc.","Unknown","Linux Red Hat","5.11","Oracle Production + Comprod - Common database for many apps

Merak Reserves\Volts (voltsprd)

Confirm to be in Unix_Class","Linux Server","2014-04-28 15:38","mid_husky","(1) Non-Critical","Duplicate external id specified: cls244"
"IPS (Integrated Pipeline System - Midstream)","CLS245","CLS245","","cls245","HP","Unknown","Linux Red Hat","5.11","","Linux Server","2014-06-16 15:21","mid_husky","(5) Mission Critical","Duplicate external id specified: cls245"
"Oracle Recovery Manager(RMAN), SUSE Manager, SPI (formally inTools), Informatica, DBA - SQL, IPS (Integrated Pipeline System - Midstream)","CLS245","CLS245","Production","cls245","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux Red Hat","5.11","Oracle Production



Applications

Ecosys EPC Application

Oracle Heterogeneous Services database - oracle connector to sql server 

Oracle recovery manager for 10g databaess

suse patch manager database

informatica Facility Structure project

Integrated Pipeline System

SPI intools





","Linux Server","2012-06-19 15:19","mid_husky","(1) Non-Critical","Duplicate external id specified: cls245"
"","CLS250","CLS250","","cls250","HP","Unknown","Linux Red Hat","5.11","","Linux Server","2014-04-28 15:38","mid_husky","(2) Productivity Important","Duplicate external id specified: cls250"
"Oracle Enterprise Manager","CLS250","CLS250","Production","cls250","HP","Hewlett-Packard Company ProLiant BL460c G6 Server Blade 507778-B21","Linux Red Hat","5.11","Oracle OEM

Confirm to be in Unix_Class

","Linux Server","2012-06-19 15:19","mid_husky","(1) Non-Critical","Duplicate external id specified: cls250"
"SAP BW (Business Warehouse)","CLS3005","CLS3005","Development","cls3005","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","11","SAP Central Instance Server / SAP Business","Linux Server","2014-03-10 9:06","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3005"
"","cls3005","cls3005","","cls3005","","Unknown","Linux SuSE","11","duplicate","Linux Server","2015-01-22 17:05","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3005"
"SAP BW (Business Warehouse)","CLS3014","CLS3014","Development","cls3014","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","11","SAP Application Server / SAP Business Wa","Linux Server","2014-03-10 9:06","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3014"
"SAP BW (Business Warehouse)","cls3014","cls3014","Development","cls3014","","Unknown","Linux SuSE","11","SAP","Linux Server","2015-01-22 17:05","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3014"
"SAP BW (Business Warehouse)","cls3015","cls3015","Development","cls3015","","Unknown","Linux SuSE","11","SAP","Linux Server","2015-01-22 17:05","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3015"
"SAP BW (Business Warehouse)","CLS3015","CLS3015","Development","cls3015","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","11","SAP Application Server / SAP Business Wa","Linux Server","2014-03-10 9:06","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3015"
"SAP BI PORTAL (Part of SAP NetWeaver Business Warehouse)","CLS3016","CLS3016","Development","cls3016","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","11","SAP Central Instance Server / SAP BW Por - duplicate entry","Linux Server","2014-03-10 9:06","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3016"
"SAP CENTRAL PORTAL (Part of SAP NetWeaver Business Warehouse)","cls3016","cls3016","Development","cls3016","","Unknown","Linux SuSE","11","SAP","Linux Server","2015-01-22 17:05","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3016"
"SAP Java Web Application Server","CLS3017","CLS3017","Development","cls3017","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","11","SAP Application Server / SAP web application server","Linux Server","2014-03-10 9:06","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3017"
"SAP Java Web Application Server","cls3017","cls3017","Development","cls3017","","Unknown","Linux SuSE","11","SAP","Linux Server","2015-01-22 17:05","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3017"
"","cls3022","cls3022","Development","cls3022","","Unknown","Linux SuSE","11","SAP","Linux Server","2015-01-22 17:05","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3022"
"","cls3022","cls3022","Development","cls3022","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","11","SAP Database Server / SAP web applicatio","Linux Server","2014-03-10 9:05","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3022"
"","cls3040","cls3040","Development","cls3040","","Unknown","Linux SuSE","11","SAP","Linux Server","2015-01-22 17:05","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3040"
"SAP BW (Business Warehouse)","cls3040","cls3040","Development","cls3040","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","11","SAP Central Instance Server / SAP Busine","Linux Server","2014-03-10 9:05","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3040"
"SAP Enterprise Portal (iConnect)","CLS3045","CLS3045","Sandbox","cls3045","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","11","SAP Central Instance Server / SAP Enterprise Central Component","Linux Server","2014-03-10 9:13","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3045"
"","cls3045","cls3045","Development","cls3045","","Unknown","","","SAP","Linux Server","2014-11-13 17:08","mid_husky","(1) Non-Critical","Duplicate external id specified: cls3045"
"","CLS306","CLS306","","cls306","HP","Unknown","Linux Red Hat","5.11","Duplicate Entry","Linux Server","2014-04-14 15:17","mid_husky","(5) Mission Critical","Duplicate external id specified: cls306"
"CMRF - Commodity Marketing Risk Framework, Trade Compliance (K3)","CLS306","CLS306","Production","cls306","HP","Hewlett-Packard Company ProLiant BL460c G7 Server Blade 603251-B21","Linux Red Hat","5.11","SAS -CMRF - PROD Database Server.

201510 ZOI - Linux servers can be rebuilt / restored from snaps in less than an hour. This does not take into consideration the time required to reinstall apps/verify apps are working.

Confirm to be in Unix_Class

","Linux Server","2012-11-28 17:07","mid_husky","(1) Non-Critical","Duplicate external id specified: cls306"
"SAP Legacy CLM - Contract Lifecycle Management","CLS320","CLS320","Production","cls320","VMware","VMware, Inc. VMware Virtual Platform","Linux SuSE","2.6.32.12-0.7-default","SAP CLM - Buy side server","Linux Server","2012-11-19 8:52","mid_husky","(5) Mission Critical","Duplicate external id specified: cls320"
"SAP CLM","CLS320","CLS320","Production","cls320","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","11","SAP CLM - Buy side server","Linux Server","2013-12-02 13:32","mid_husky","(1) Non-Critical","Duplicate external id specified: cls320"
"Legacy SAP - BW - Basis","cls331","cls331","Development","cls331","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","2.6.32.12-0.7-default","SAP VSBX1CI1/VSBX1DB1","Linux Server","2012-12-07 13:34","mid_husky","(1) Non-Critical","Duplicate external id specified: cls331"
"","cls331","cls331","Development","cls331","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","10","Legacy SAP DRT","Linux Server","2014-05-12 15:17","mid_husky","(1) Non-Critical","Duplicate external id specified: cls331"
"SAP CLM","CLS335","CLS335","Development","cls335","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Linux SuSE","11","SAP MD1/MD3","Linux Server","2013-10-04 13:42","mid_husky","(1) Non-Critical","Duplicate external id specified: cls335"
"SAP CLM","cls335","cls335","Test","cls335","VMware","VMware, Inc. VMware Virtual Platform","Linux SuSE","2.6.32.12-0.7-default","SAP CLM MD1/MD3","Linux Server","2012-12-14 13:34","mid_husky","(1) Non-Critical","Duplicate external id specified: cls335"
"","COS005","COS005","","","Apple","Apple Mac Pro MacPro5,1","Mac OS 10 (OS/X)","OS X 10.8.4 (12E55)","","Server","2015-12-11 13:40","mid_husky","(1) Non-Critical","Duplicate external id specified: cos005"
"","COS005","COS005","","","Apple","Apple Mac Pro MacPro5,1","Mac OS 10 (OS/X)","OS X 10.8.4 (12E55)","Darwin cgwmac02ts.hq.huskyenergy.com 12.4.0 Darwin Kernel Version 12.4.0: Wed May  1 17:57:12 PDT 2013; root:xnu-2050.24.15~1/RELEASE_X86_64 x86_64 ","Server","2013-09-02 8:54","mid_husky","(1) Non-Critical","Duplicate external id specified: cos005"
"","CTXWIT1","CTXWIT1","","CTXWIT1","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1.7601","","Windows Server","2015-01-29 17:35","mid_husky","(1) Non-Critical","Duplicate external id specified: ctxwit1"
"","CTXWIT1","CTXWIT1","Production","CTXWIT1","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1","","Windows Server","2014-11-25 14:04","hashmm","(1) Non-Critical","Duplicate external id specified: ctxwit1"
"","CTXWIT2","CTXWIT2","","CTXWIT2","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1.7601","","Windows Server","2015-01-29 17:36","mid_husky","(1) Non-Critical","Duplicate external id specified: ctxwit2"
"","CTXWIT2","CTXWIT2","Production","CTXWIT2","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1.7601","","Windows Server","2014-11-25 14:11","hashmm","(1) Non-Critical","Duplicate external id specified: ctxwit2"
"Riverbed Appliance","cvapl039","cvapl039","Production","cvapl001","Riverbed Technology","VMware, Inc. VMware Virtual Platform","GNU/Linux","10.8.1","201610 - Appliance: Riverbed Steel Central Flow Gateway (Mike Kremer)","Linux Server","2014-05-15 10:53","lewisbe","(1) Non-Critical","Duplicate external id specified: cvapl039"
